#Time    Z  Density
#fs    A   1/A^3
        0.000000 -1.0000000000000000E+19  0.0000000000000000E+00
        0.000000  0.0000000000000000E+00  1.2492175000000474E-60
        0.000000  1.0000000000000000E+19  1.2507825000000497E-60

       50.000000 -1.0000000000000000E+19  0.0000000000000000E+00
       50.000000  0.0000000000000000E+00  0.0000000000000000E+00
       50.000000  1.0000000000000000E+19  2.4783700000017263E-60

      100.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      100.000000  0.0000000000000000E+00  0.0000000000000000E+00
      100.000000  1.0000000000000000E+19  2.4783700000017263E-60

      150.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      150.000000  0.0000000000000000E+00  0.0000000000000000E+00
      150.000000  1.0000000000000000E+19  2.4783700000017263E-60

      200.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      200.000000  0.0000000000000000E+00  0.0000000000000000E+00
      200.000000  1.0000000000000000E+19  2.4783700000017263E-60

      250.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      250.000000  0.0000000000000000E+00  0.0000000000000000E+00
      250.000000  1.0000000000000000E+19  2.4783700000017263E-60

      300.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      300.000000  0.0000000000000000E+00  0.0000000000000000E+00
      300.000000  1.0000000000000000E+19  2.4783700000017263E-60

